タイトル,概要,概要9,pop_score,価格7,価格8,詳細,タグ25
FORZA　ホテルフォルツァ金沢,4.6,1102.0,32.22662948856611,14400,"1名 7,200円～","
 『武蔵ヶ辻・近江町市場』バス停目の前！主要観光スポットへのアクセス抜群♪コンビニ徒歩約3分。 コーヒーやソフトドリンク、ワインなど複数のウェルカムドリンクをご用意！ 全館禁煙でお子様も安心♪
 ",空室わずか
THE HOTEL SANRAKU KANAZAWA（ザ ホテル山楽 金沢）,4.8,376.0,28.474776899750452,34200,"1名 17,100円～","
 【じゃらん OF THE YEAR2024　3部門受賞】金沢観光の中心に位置し、人気観光地へも徒歩圏内。全室32平米以上の快適な客室、さらにクラブラウンジや四季を彩る美しい中庭を誇るラグジュアリーホテル。
 ",あと2部屋
ホテル・トリフィート金沢,4.6,433.0,27.93600485686186,16460,"1名 8,230円～","
 コンセプトは「金沢 Inspire！」非日常で楽しい空間を演出し、旅の途中やお仕事の束の間の休息をより有意義な時間になるようにサポートいたします。新しい日が素敵な1日になりますように・・・。
 ",空室わずか
ホテルインターゲート金沢,4.5,84.0,19.991930654206424,22524,"1名 11,262円～","
 兼六園・近江町市場が徒歩圏内。ハッピーアワー・お茶漬けバイキングなど充実の無料ラウンジサービス、地元の食材を使用した朝食ビュッフェをご提供しております。ワクワクで快適な滞在をお楽しみください。
 ",空室わずか
金沢湯涌温泉　百楽荘,4.9,42.0,18.429880566898458,96140,"1名 48,070円～","
 ●露天風呂付スイート金沢最大級●兼六園から車で15分の温泉街！無料送迎あり●5つの貸切風呂●個室食事♪●ダーツ＆卓球など北陸初Gameラウンジ♪
 ",あと2部屋
OMO5金沢片町 by 星野リゾート,4.7,164.0,23.99794372733273,25780,"1名 12,890円～","
 江戸から続く華やかな工芸品に彩られた文化が今も息づく金沢。ダルマを模った九谷焼アートも楽しいラウンジで加賀特有のお茶を味わい、片町食事の余韻に浸れば、思わず「あっぱれ！」と心がときめきます。
 ",空室わずか
ホテル日航金沢,4.6,1789.0,34.45386613464008,33234,"1名 16,617円～","
 ◆客室は全室17階以上◆高層階の客室から夜景満喫！JR金沢駅兼六園口より地下道で直結・アクセス抜群な立地に佇みます。チェックイン前／チェックアウト後のお荷物のお預かりも可能です。
 ",空室わずか
金沢白鳥路　ホテル山楽,4.4,2441.0,34.32251968055086,30600,"1名 15,300円～","
 【じゃらん OF THE YEAR 売れた宿大賞 石川県 2位】兼六園まで徒歩5分！天然温泉・サウナ完備！のど黒や金沢グルメを楽しめる朝食や加賀会席も好評！大正ロマンの情緒に包まれ優雅で上質なひとときを。
 ",空室わずか
ダイワロイネットホテル金沢駅西口,4.7,235.0,25.68000948362037,16640,"1名 8,320円～","
 ◇全室21平米以上◇全室バストイレ別セミセパレート（ユニバーサル除く）。焼きたてピザが楽しめる朝食イタリアンビュッフェ♪1階に24時間営業のセブン-イレブン併設!お部屋からのトレインビューも人気♪
 ",
ダイワロイネットホテル金沢ＭＩＹＡＢＩ,4.5,88.0,20.19886366379463,13774,"1名 6,887円～","
 館内は金沢の伝統文化を巧みに取り入れたインテリアデザイン、加賀友禅をモチーフにした和風浴場を完備。スタンダードダブル・スーペリアダブル以外はバス・トイレセパレートタイプで快適ステイ。
 ",
